#Wavelength[nm]	ADC
302.921	1236
303.162	1228
303.402	1213
303.642	1199
303.882	1175
304.122	1197
304.362	1194
304.601	1262
304.841	1177
305.080	1232
305.319	1220
305.559	1194
305.798	1199
306.037	1212
306.276	1170
306.514	1172
306.753	1192
306.992	1177
307.230	1174
307.468	1211
307.707	1197
307.945	1170
308.183	1167
308.421	1178
308.658	1176
308.896	1198
309.133	1187
309.371	1189
309.608	1179
309.845	1167
310.082	1224
310.319	1180
310.556	1239
310.793	1180
311.029	1162
311.266	1205
311.502	1165
311.738	1228
311.974	1224
312.210	1236
312.446	1195
312.682	1210
312.917	1183
313.153	1215
313.388	1241
313.623	1244
313.859	1203
314.093	1166
314.328	1212
314.563	1204
314.798	1198
315.032	1150
315.266	1190
315.500	1180
315.734	1167
315.968	1205
316.202	1161
316.436	1142
316.669	1233
316.903	1217
317.136	1183
317.369	1197
317.602	1180
317.835	1163
318.067	1207
318.300	1203
318.532	1186
318.765	1178
318.997	1234
319.229	1205
319.461	1221
319.692	1188
319.924	1183
320.155	1177
320.387	1196
320.618	1180
320.849	1138
321.080	1176
321.310	1203
321.541	1180
321.771	1179
322.002	1204
322.232	1204
322.462	1228
322.691	1216
322.921	1224
323.151	1233
323.380	1160
323.609	1223
323.838	1162
324.067	1195
324.296	1167
324.524	1182
324.753	1156
324.981	1157
325.209	1209
325.437	1196
325.665	1188
325.893	1165
326.120	1205
326.348	1192
326.575	1244
326.802	1168
327.029	1130
327.255	1185
327.482	1193
327.708	1187
327.934	1204
328.160	1168
328.386	1150
328.612	1174
328.837	1179
329.063	1166
329.288	1198
329.513	1213
329.738	1208
329.963	1207
330.187	1182
330.411	1234
330.636	1151
330.860	1128
331.084	1207
331.307	1161
331.531	1210
331.754	1193
331.977	1144
332.200	1179
332.423	1143
332.645	1209
332.868	1180
333.090	1215
333.312	1200
333.534	1167
333.756	1190
333.977	1185
334.199	1144
334.420	1174
334.641	1195
334.862	1170
335.082	1178
335.303	1174
335.523	1198
335.743	1181
335.963	1165
336.182	1166
336.402	1150
336.621	1176
336.840	1154
337.059	1191
337.278	1187
337.496	1178
337.715	1167
337.933	1178
338.151	1204
338.369	1201
338.586	1176
338.804	1198
339.021	1229
339.238	1163
339.454	1211
339.671	1200
339.887	1198
340.104	1140
340.320	1176
340.535	1215
340.751	1202
340.966	1207
341.181	1228
341.396	1177
341.611	1158
341.826	1190
342.040	1179
342.254	1194
342.468	1159
342.682	1161
342.895	1191
343.109	1169
343.322	1194
343.535	1189
343.747	1178
343.960	1154
344.172	1145
344.384	1197
344.596	1187
344.808	1144
345.019	1182
345.230	1113
345.441	1207
345.652	1192
345.863	1182
346.073	1214
346.283	1169
346.493	1217
346.703	1186
346.912	1189
347.121	1202
347.331	1188
347.539	1189
347.748	1217
347.956	1192
348.164	1177
348.372	1187
348.580	1199
348.787	1223
348.995	1192
349.202	1167
349.409	1219
349.615	1199
349.821	1195
350.028	1144
350.233	1131
350.439	1221
350.645	1205
350.850	1193
351.055	1335
351.259	1184
351.464	1230
351.668	1228
351.872	1215
352.076	1226
352.280	1162
352.483	1197
352.686	1167
352.889	1134
353.092	1151
353.294	1220
353.496	1168
353.698	1193
353.900	1173
354.101	1192
354.302	1150
354.503	1141
354.704	1192
354.905	1202
355.105	1197
355.305	1221
355.505	1182
355.704	1180
355.904	1162
356.103	1196
356.301	1163
356.500	1189
356.698	1201
356.896	1198
357.094	1162
357.292	1200
357.489	1155
357.686	1185
357.883	1158
358.080	1182
358.276	1179
358.472	1199
358.668	1182
358.863	1194
359.059	1183
359.254	1248
359.449	1171
359.643	1161
359.838	1156
360.032	1182
360.226	1183
360.419	1186
360.613	1168
360.806	1193
360.998	1171
361.191	1166
361.383	1144
361.575	1195
361.767	1186
361.959	1156
362.150	1191
362.341	1198
362.532	1129
362.722	1218
362.913	1161
363.103	1198
363.293	1241
363.482	1208
363.671	1175
363.860	1160
364.049	1154
364.237	1182
364.426	1172
364.614	1187
364.801	1133
364.989	1189
365.176	1208
365.363	1182
365.549	1197
365.736	1205
365.922	1156
366.108	1194
366.293	1182
366.479	1239
366.664	1146
366.849	1171
367.033	1177
367.217	1185
367.402	1174
367.585	1116
367.769	1181
367.952	1227
368.135	1205
368.318	1166
368.500	1181
368.682	1132
368.864	1199
369.046	1139
369.227	1188
369.408	1163
369.589	1142
369.770	1197
369.950	1192
370.130	1176
370.310	1194
370.489	1202
370.669	1167
370.848	1215
371.026	1235
371.205	1167
371.383	1214
371.561	1146
371.738	1169
371.916	1210
372.093	1173
372.270	1198
372.446	1174
372.623	1193
372.799	1153
372.974	1159
373.150	1171
373.325	1181
373.500	1196
373.675	1242
373.849	1167
374.023	1205
